Date,sentiment_score_7d_avg,news_count,stock_price_7d_avg,Company,Year
2021-07-10,3.4388685684076075,9.0,80042.85714285714,Samsung,2021
2021-07-11,3.366003959576376,17.0,80042.85714285714,Samsung,2021
2021-07-12,3.339605853559866,41.0,79957.14285714286,Samsung,2021
2021-07-13,3.3555622838229016,21.0,79814.28571428571,Samsung,2021
2021-07-14,3.3992822034415937,25.0,79685.71428571429,Samsung,2021
2021-07-15,3.328910848968287,15.0,79628.57142857143,Samsung,2021
2021-07-16,3.292737372604828,28.0,79457.14285714286,Samsung,2021
2021-07-17,3.135720806203363,10.0,79457.14285714286,Samsung,2021
2021-07-18,3.039077850944448,14.0,79457.14285714286,Samsung,2021
2021-07-19,3.0803223434273344,23.0,79442.85714285714,Samsung,2021
2021-07-20,3.0926706279521903,27.0,79414.28571428571,Samsung,2021
2021-07-21,3.0693648125582214,23.0,79157.14285714286,Samsung,2021
2021-07-22,3.1690882220897905,34.0,78971.42857142857,Samsung,2021
2021-07-23,3.100978861232627,39.0,79000.0,Samsung,2021
2021-07-24,3.2419073977117536,9.0,79000.0,Samsung,2021
2021-07-25,3.3159667199719975,8.0,79000.0,Samsung,2021
2021-07-26,3.354919781791261,24.0,79000.0,Samsung,2021
2021-07-27,3.3819160890266176,38.0,79000.0,Samsung,2021
2021-07-28,3.3423166624623226,35.0,78942.85714285714,Samsung,2021
2021-07-29,3.2851486228492885,149.0,79242.85714285714,Samsung,2021
2021-07-30,3.3952749616430737,72.0,79828.57142857143,Samsung,2021
2021-07-31,3.4099562392330625,11.0,79828.57142857143,Samsung,2021
2021-08-01,3.484674052699681,23.0,79828.57142857143,Samsung,2021
2021-08-02,3.4380421830039443,51.0,80342.85714285714,Samsung,2021
2021-08-03,3.4826182043766214,45.0,80671.42857142857,Samsung,2021
2021-08-04,3.586425241527143,56.0,81028.57142857143,Samsung,2021
2021-08-05,3.6461255846606515,31.0,81271.42857142857,Samsung,2021
2021-08-06,3.580493327339807,22.0,81157.14285714286,Samsung,2021
2021-08-07,3.534970169199409,8.0,81157.14285714286,Samsung,2021
2021-08-08,3.4371185161942965,19.0,81157.14285714286,Samsung,2021
2021-08-09,3.248942758249068,50.0,80528.57142857143,Samsung,2021
2021-08-10,3.1366928949737214,56.0,79314.28571428571,Samsung,2021
2021-08-11,3.0943218287570775,49.0,78185.71428571429,Samsung,2021
2021-08-12,3.0192036386224936,55.0,77100.0,Samsung,2021
2021-08-13,3.0673928931957444,43.0,75900.0,Samsung,2021
2021-08-14,3.019003629947587,11.0,75900.0,Samsung,2021
2021-08-15,3.012075617738827,16.0,75900.0,Samsung,2021
2021-08-16,3.1418515013117143,24.0,75900.0,Samsung,2021
2021-08-17,3.171823573485671,62.0,74828.57142857143,Samsung,2021
2021-08-18,3.258917594217379,69.0,74085.71428571429,Samsung,2021
2021-08-19,3.2529463254617355,39.0,73885.71428571429,Samsung,2021
2021-08-20,3.2221937756454024,21.0,74071.42857142857,Samsung,2021
2021-08-21,3.317651686361583,6.0,74071.42857142857,Samsung,2021
2021-08-22,3.360900333157671,24.0,74071.42857142857,Samsung,2021
2021-08-23,3.3968969821431445,30.0,74128.57142857143,Samsung,2021
