Date,Close,Open,High,Low,Vol.
05/27/2021,125.28,126.44,127.64,125.08,94.63M
05/26/2021,126.85,126.95,127.39,126.42,56.58M
05/25/2021,126.9,127.82,128.32,126.32,72.01M
05/24/2021,127.1,126.01,127.94,125.94,63.09M
05/21/2021,125.43,127.82,128,125.21,79.30M
05/20/2021,127.31,125.23,127.72,125.1,76.86M
05/19/2021,124.69,123.16,124.92,122.86,92.61M
05/18/2021,124.85,126.56,126.99,124.78,63.34M
05/17/2021,126.27,126.82,126.93,125.17,74.24M
05/14/2021,127.45,126.25,127.89,125.85,81.92M
05/13/2021,124.97,124.58,126.15,124.26,105.86M
05/12/2021,122.77,123.4,124.64,122.25,112.17M
05/11/2021,125.91,123.5,126.27,122.77,126.14M
05/10/2021,126.85,129.41,129.54,126.81,88.07M
05/07/2021,130.21,130.85,131.26,129.47,78.97M
05/06/2021,129.74,127.89,129.75,127.13,78.13M
05/05/2021,128.1,129.2,130.45,127.97,84.00M
05/04/2021,127.85,131.19,131.49,126.7,137.56M
05/03/2021,132.54,132.04,134.07,131.83,75.14M
04/30/2021,131.46,131.78,133.56,131.06,109.84M
04/29/2021,133.48,136.47,137.07,132.45,151.10M
04/28/2021,133.58,134.31,135.02,133.08,107.76M
04/27/2021,134.39,135.01,135.41,134.11,66.02M
04/26/2021,134.72,134.83,135.06,133.56,66.91M
04/23/2021,134.32,132.16,135.12,132.16,78.76M
04/22/2021,131.94,133.04,134.15,131.41,84.57M
04/21/2021,133.5,132.36,133.75,131.3,68.85M
04/20/2021,133.11,135.02,135.53,131.81,94.81M
04/19/2021,134.84,133.51,135.47,133.34,94.26M
04/16/2021,134.16,134.3,134.67,133.28,84.92M
04/15/2021,134.5,133.82,135,133.64,89.35M
04/14/2021,132.03,134.94,135,131.66,87.22M
04/13/2021,134.43,132.44,134.66,131.93,91.27M
04/12/2021,131.24,132.52,132.85,130.63,91.42M
04/09/2021,133,129.8,133.04,129.47,106.69M
04/08/2021,130.36,128.95,130.39,128.52,88.84M
04/07/2021,127.9,125.83,127.92,125.14,83.47M
04/06/2021,126.21,126.5,127.13,125.65,80.17M
04/05/2021,125.9,123.87,126.16,123.07,88.65M
04/01/2021,123,123.66,124.18,122.49,75.09M
03/31/2021,122.15,121.65,123.52,121.15,118.32M
03/30/2021,119.9,120.11,120.4,118.86,85.67M
03/29/2021,121.39,121.65,122.58,120.73,80.82M
03/26/2021,121.21,120.35,121.48,118.92,94.07M
03/25/2021,120.59,119.54,121.66,119,98.84M
03/24/2021,120.09,122.82,122.9,120.06,88.53M
03/23/2021,122.54,123.33,124.24,122.14,95.47M
03/22/2021,123.39,120.33,123.87,120.26,111.91M
03/19/2021,119.99,119.9,121.43,119.67,185.55M
03/18/2021,120.53,122.88,123.18,120.32,121.47M
03/17/2021,124.76,124.05,125.86,122.34,111.93M
03/16/2021,125.57,125.7,127.22,124.72,115.23M
03/15/2021,123.99,121.41,124,120.42,92.59M
03/12/2021,121.03,120.4,121.17,119.16,88.11M
03/11/2021,121.96,122.54,123.21,121.26,103.03M
03/10/2021,119.98,121.69,122.17,119.45,111.94M
03/09/2021,121.08,119.03,122.06,118.79,129.53M
03/08/2021,116.36,120.93,121,116.21,154.38M
03/05/2021,121.42,120.98,121.94,117.57,153.77M
03/04/2021,120.13,121.75,123.6,118.62,178.15M
03/03/2021,122.06,124.81,125.71,121.84,112.97M
03/02/2021,125.12,128.41,128.72,125.01,102.26M
03/01/2021,127.79,123.75,127.93,122.79,116.31M
02/26/2021,121.26,122.59,124.85,121.2,164.56M
02/25/2021,120.99,124.68,126.46,120.54,148.20M
02/24/2021,125.35,124.94,125.56,122.23,111.04M
02/23/2021,125.86,123.76,126.71,118.39,158.27M
02/22/2021,126,128.01,129.72,125.6,103.92M
02/19/2021,129.87,130.24,130.71,128.8,87.67M
02/18/2021,129.71,129.2,130,127.41,96.86M
02/17/2021,130.84,131.25,132.22,129.47,98.09M
02/16/2021,133.19,135.49,136.01,132.79,80.58M
02/12/2021,135.37,134.35,135.53,133.69,60.15M
02/11/2021,135.13,135.9,136.39,133.77,64.28M
02/10/2021,135.39,136.48,136.99,134.4,73.05M
02/09/2021,136.01,136.62,137.88,135.85,76.77M
02/08/2021,136.91,136.03,136.96,134.92,71.30M
02/05/2021,136.76,137.35,137.42,135.86,75.69M
